R,UHF_STO-3G,UHF_cc-pVDZ,UHF_cc-pVTZ
3.42,-0.9411586824,-1.0065800883,-1.0077525777
3.44,-0.9408601637,-1.0062986870,-1.0074679114
3.46,-0.9405729510,-1.0060271798,-1.0071932140
3.48,-0.9402966143,-1.0057652204,-1.0069281358
3.50,-0.9400307379,-1.0055124748,-1.0066723391
3.52,-0.9397749228,-1.0052686206,-1.0064254985
3.54,-0.9395287850,-1.0050333465,-1.0061872998
3.56,-0.9392919556,-1.0048063525,-1.0059574400
3.58,-0.9390640792,-1.0045873486,-1.0057356267
3.60,-0.9388448144,-1.0043760552,-1.0055215777
3.62,-0.9386338326,-1.0041722024,-1.0053150208
3.64,-0.9384308178,-1.0039755298,-1.0051156936
3.66,-0.9382354660,-1.0037857858,-1.0049233425
3.68,-0.9380474849,-1.0036027278,-1.0047377231
3.70,-0.9378665934,-1.0034261215,-1.0045585995
3.72,-0.9376925208,-1.0032557410,-1.0043857442
3.74,-0.9375250071,-1.0030913680,-1.0042189375
3.76,-0.9373638019,-1.0029327918,-1.0040579676
3.78,-0.9372086647,-1.0027798091,-1.0039026300
3.80,-0.9370593638,-1.0026322237,-1.0037527276
3.82,-0.9369156767,-1.0024898459,-1.0036080699
3.84,-0.9367773890,-1.0023524930,-1.0034684733
3.86,-0.9366442949,-1.0022199883,-1.0033337607
3.88,-0.9365161962,-1.0020921614,-1.0032037610
