R,UHF_STO-3G,UHF_cc-pVDZ,UHF_cc-pVTZ
4.18,-7.812182317,-7.960409973,-7.962350433
4.20,-7.811501705,-7.959788815,-7.961724432
4.22,-7.810839059,-7.959165345,-7.961096538
4.24,-7.810193718,-7.958539709,-7.960466878
4.26,-7.809565060,-7.957915229,-7.959835593
4.28,-7.808952496,-7.957305330,-7.959202816
4.30,-7.808355469,-7.956711046,-7.958569452
4.32,-7.807773451,-7.956131875,-7.957948489
4.34,-7.807205940,-7.955567342,-7.957344085
4.36,-7.806652461,-7.955016996,-7.956755682
4.38,-7.806112559,-7.954480403,-7.956182749
4.40,-7.805585803,-7.953957152,-7.955624782
4.42,-7.805071781,-7.953446848,-7.955081300
4.44,-7.804570101,-7.952949114,-7.954551843
4.46,-7.804080387,-7.952463587,-7.954035975
4.48,-7.803602279,-7.951989919,-7.953533275
